F990_TOTAL_ASSETS_RECENT,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_NAME_CURRENT,Total_Assets
657.222,ME,Oxford County,PARIS PUBLIC LIBRARY ASSOCIATION,0.657222
85551.346,ME,Cumberland County,GOODWILL INDUSTRIES OF NORTHERN NEW ENGLAND,85.551346
3377.617,ME,Kennebec County,SOUTHERN KENNEBEC CHILD DEVELOPMENT CORPORATION,3.377617
120.409,ME,Cumberland County,LEVEY DAY SCHOOL,0.120409
1285.945,ME,Washington County,EAST GRAND HEALTH CENTER INC,1.285945
101.508,ME,York County,SCHOOL AROUND US,0.101508
16138.191,ME,Knox County,COASTAL OPPORTUNITIES,16.138191
385.143,ME,Penobscot County,UNIVERSITY OF MAINE STUDENT GOVERNMENT INC,0.385143
991.495,ME,Cumberland County,MAINE PRESERVATION,0.991495
807.851,ME,Cumberland County,GREATER PORTLAND CHRISTIAN SCHOOL ASSOCIATION,0.807851
51.103,ME,York County,BIDDEFORD YOUTH HOCKEY ASSOCIATION,0.051103
6439.103,ME,Kennebec County,MOTIVATIONAL SERVICES INC,6.439103
839.051,ME,Androscoggin County,ANDROSCOGGIN HISTORICAL SOCIETY,0.839051
709.073,ME,Penobscot County,PENOBSCOTT COUNTY CONSERVATION INC TRUST FUND,0.709073
2057.07,ME,Kennebec County,BELGRADE REGIONAL HEALTH CENTER INC,2.05707
3870.928,ME,Washington County,EASTPORT HEALTH CARE INC,3.870928
940.108,ME,Aroostook County,ST JOHN VALLEY ASSOCIATES INC,0.940108
63275.417,ME,Androscoggin County,JOHN F MURPHY HOMES INC,63.275417
314.893,ME,Kennebec County,HOME CARE & HOSPICE ALLIANCE OF MAINE,0.314893
272.085,ME,Androscoggin County,TRI-COUNTY EMERGENCY MEDICAL SERVICES INC,0.272085
221.882,ME,Lincoln County,ST ANDREWS AUXILIARY,0.221882
3425.704,ME,Kennebec County,SMALL WOODLAND OWNERS ASSOCIATION OF MAINE INC,3.425704
477.251,ME,York County,OLD BERWICK HISTORICAL SOCIETY,0.477251
1701.008,ME,Hancock County,SPECIAL CHILDRENS FRIENDS INC,1.701008
372.163,ME,Cumberland County,BRUCE ROBERTS SANTA CLAUS,0.372163
2615.85,ME,Penobscot County,THE HOUSING FOUNDATION,2.61585
6988.645,ME,Cumberland County,PORT RESOURCES,6.988645
3147.09,ME,Franklin County,WORK FIRST INC,3.14709
531.232,ME,Franklin County,SHADAGEE SENIORS HOUSING CORPORATION,0.531232
227.828,ME,York County,KIDS FREE TO GROW,0.227828
190.854,ME,Kennebec County,ATLANTIC PARTNERS EMS INC,0.190854
823.229,ME,Lincoln County,COASTAL CHRISTIAN SCHOOL INC,0.823229
3781.923,ME,Penobscot County,FAITH SCHOOL OF THEOLOGY,3.781923
967.248,ME,York County,BIDDEFORD FOOD PANTRY,0.967248
88965.309,ME,Cumberland County,PORTLAND MUSEUM OF ART,88.965309
1004.147,ME,Cumberland County,FRIENDS OF THE KOTZSCHMAR ORGAN INC,1.004147
507.147,ME,Hancock County,THE ISLESFORD NEIGHBORHOOD HOUSE ASSOCIATION,0.507147
269.154,ME,Penobscot County,PENOBSCOT VALLEY HUMANE SOCIETY,0.269154
580.687,ME,Androscoggin County,TURNER PUBLIC LIBRARY,0.580687
1390.753,ME,Aroostook County,NORTHERN AROOSTOOK ALTERNATIVES INC,1.390753
1099.391,ME,Penobscot County,HOUSING FOUNDATION,1.099391
229.173,ME,Knox County,MAINE FISHERMENS FORUM,0.229173
369.823,ME,Hancock County,KNOX DISTRICT HOUSING,0.369823
3397.477,ME,Aroostook County,DANFORTH HABILITATION ASSOCIATION,3.397477
4964.917,ME,Washington County,SUNRISE OPPORTUNITIES,4.964917
349.629,ME,Kennebec County,AUTISM SOCIETY OF MAINE,0.349629
253.974,ME,Knox County,THE COASTAL CHILDRENS MUSEUM,0.253974
61.698,ME,Cumberland County,SCARBOROUGH ECONOMIC DEVELOPMENT CORP,0.061698
522.181,ME,York County,RIVER TREE ARTS,0.522181
3456.605,ME,York County,HABITAT FOR HUMANITY YORK COUNTY,3.456605
4234.228,ME,Aroostook County,NORTHERN MAINE COMMUNITY COLLEGE FOUNDATION,4.234228
1361.712,ME,Penobscot County,HOUSING FOUNDATION,1.361712
7282.761,ME,Cumberland County,TEDFORD HOUSING,7.282761
1959.473,ME,Cumberland County,PRESUMPSCOT REGIONAL LAND TRUST INC,1.959473
257.567,ME,Hancock County,REACH SCHOOL INC,0.257567
552.047,ME,Androscoggin County,MAINE HOUSING AND BUILDING MATERIALS EXCHANGE,0.552047
1195.875,ME,Penobscot County,ST XAVIERS HOME,1.195875
8640.392,ME,Kennebec County,THE KENNEBEC LAND TRUST,8.640392
617.496,ME,Cumberland County,STEEP FALLS LIBRARY,0.617496
3343.069,ME,Cumberland County,ATTENDANT SERVICES INC,3.343069
667.082,ME,Lincoln County,CENTER FOR TEACHING AND LEARNING,0.667082
9730.257,ME,Aroostook County,FISH RIVER RURAL HEALTH,9.730257
517.411,ME,Penobscot County,MAINE RESOURCE RECOVERY ASSOCIATION,0.517411
46225.096,ME,Cumberland County,GENESIS FUND,46.225096
6335.102,ME,Washington County,ST CROIX REGIONAL FAMILY HEALTH CENTER,6.335102
5562.726,ME,Somerset County,KENNEBEC VALLEY COMMUNITY COLLEGE FOUNDATION,5.562726
44.59,ME,Aroostook County,CAN AM CROWN,0.04459
3775.572,VA,Alexandria city,VOLUNTEERS OF AMERICA INC,3.775572
2187.281,ME,Cumberland County,THE MAINE NARROW GAUGE RAILROAD AND INDUSTRIAL HERTIAGE TRUST,2.187281
286.216,ME,York County,MAINE ADULT EDUCATION ASSOCIATION,0.286216
4243.805,ME,Franklin County,RANGELEY REGION HEALTH & WELLNESS PARTNERSHIP,4.243805
443.854,ME,Androscoggin County,MOUNT DAVID HOUSING INC,0.443854
7865.662,ME,Hancock County,GREAT POND MOUNTAIN CONSERVATION TR,7.865662
1689.921,ME,Androscoggin County,PERSONAL ONSITE DEVELOPMENT,1.689921
256.039,ME,Penobscot County,MAINE AMATEUR HOCKEY ASSOCIATION INC,0.256039
208.542,ME,Penobscot County,MAIN JR BLACK BEARS,0.208542
1798.028,ME,Cumberland County,PORTLAND CONSERVATORY OF MUSIC,1.798028
611.35,ME,Cumberland County,OASIS HEALTH NETWORK INC,0.61135
7020.051,ME,Cumberland County,CONNECTIONS FOR KIDS,7.020051
623.349,ME,Washington County,ARNOLD MEMORIAL MEDICAL BUILDING SOCIETY,0.623349
665.839,ME,Piscataquis County,NATURAL RESOURCE EDUCATION CENTER AT MOOSEHEAD,0.665839
545.293,ME,York County,WARDWELL COMMONS ELDERLY HOUSING INC,0.545293
1187.925,ME,Cumberland County,CHOICES ARE FOR EVERYONE INC,1.187925
465.47,ME,York County,NORTHERN NEW ENGLAND CENTER FOR FINANCIAL TRAINING,0.46547
150.516,ME,Aroostook County,CARLETON PROJECT,0.150516
151.545,ME,Cumberland County,NORTH ATLANTIC FIGURE SKATING CLUB,0.151545
1454.364,ME,Kennebec County,MAINE MANUFACTURING EXTENSION PARTNERSHIP,1.454364
5392.209,ME,Cumberland County,SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION,5.392209
690.757,ME,York County,CHURCH COMMUNITY OUTREACH SERVICES INC,0.690757
685.102,ME,Cumberland County,WINDHAM SCHOOL AGE CHILDCARE,0.685102
1672.38,ME,York County,FAIR TIDE INC,1.67238
1346.021,ME,Knox County,PARTNERS IN ISLAND EDUCATION INC,1.346021
1188.438,ME,Hancock County,INSTITUTE FOR HUMANE EDUCATION,1.188438
4291.572,ME,Cumberland County,NORTHERN NEW ENGLAND EMPLOYMENT SER,4.291572
343.245,ME,Androscoggin County,STONY BROOK HOUSING INC,0.343245
368.249,ME,Washington County,DENNYSVILLE HOUSING,0.368249
3195.002,ME,Cumberland County,MAINE SPECIAL EDUCATION MENTAL,3.195002
911.116,ME,Cumberland County,WINTERKIDS EDUCATION FOUNDATION,0.911116
5050.87,ME,Androscoggin County,FRANCO-AMERICAN HERITAGE CENTER AT ST MARYS,5.05087
274.021,ME,Knox County,PARENT PROGRAM OF MID-COAST MAINE INC,0.274021
1842.662,ME,Cumberland County,EMC AFFORDABLE HOUSING PRESERVATION,1.842662
1210.725,ME,Penobscot County,THE CHALLENGER LEARNNG CENTER OF MAINE,1.210725
940.647,ME,Androscoggin County,TRINITY JUBILEE CENTER INC,0.940647
1850.077,ME,York County,BRIXHAM MONTESSORI FRIENDS SCHOOL,1.850077
219.29,ME,York County,GREENWOOD,0.21929
4357.074,ME,Androscoggin County,UNITED AMBULANCE,4.357074
314.101,OH,Butler County,FAIRFIELD CHILD DEVELOPMENT CENTER,0.314101
4208.983,NJ,Camden County,MOUNT EPHRAIM SENIOR HOUSING INITIATIVE INC,4.208983
261.253,CA,Orange County,DREAMLAND PRESCHOOL INC,0.261253
173.848,NY,Franklin County,ADIRONDACK CENTER FOR WRITING INC,0.173848
354.101,NJ,Atlantic County,ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC,0.354101
505.372,CT,Western Connecticut Planning Region,BUILDERS BEYOND BORDERS,0.505372
44.844,VA,Roanoke city,KIDS SOAR,0.044844
832.349,NC,Jackson County,FULL SPECTRUM FARMS INC,0.832349
126.114,GA,Floyd County,USA SOUTH ATHLETIC CONFERENCE INC,0.126114
1589.326,GA,Gilmer County,CRADDOCK CENTER INC,1.589326
111.231,NJ,Mercer County,AMERICAN INTERNATIONAL SCHOOL OF BAMAKO FOUNDATION,0.111231
875.228,NY,Broome County,WEST WINDSOR FIRE COMPANY INC,0.875228
1819.644,FL,Volusia County,HOUSE NEXT DOOR FAMILY FOUNDATION INC,1.819644
101.358,MN,Dakota County,FARMINGTON YOUTH BASKETBALL ASSOCIATION,0.101358
684.075,NY,Rockland County,EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC,0.684075
78.798,NJ,Morris County,CEDAR HILL HOME & SCHOOL CORP,0.078798
402.326,CA,Santa Clara County,GIRLS ON THE RUN OF SILICON VALLEY INCORPORATED,0.402326
937.468,CO,Larimer County,THE EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY,0.937468
1281.201,CA,Santa Cruz County,BEACON-INDEPENDENT LIVING SERVICES,1.281201
343.722,CA,San Bernardino County,NEW HOPE VILLAGE INC,0.343722
677.601,AL,Jefferson County,HOPE HEALTH CENTER INC,0.677601
8045.166,DC,District of Columbia,MUTUAL FUND DIRECTORS FORUM,8.045166
513.681,CT,Capitol Planning Region,DANIEL J GRIFFIN MEMORIAL,0.513681
255.412,MN,Stearns County,HELPING HANDS OUTREACH,0.255412
5481.229,NY,Suffolk County,H S C NO 5 HOUSING DEVELOPMENT FUND CO INC,5.481229
12683.154,PA,Montgomery County,UNIVEST FOUNDATION,12.683154
562.18,MO,Boone County,HIDDEN JEWELS,0.56218
3862.431,MN,Houston County,WESTBY HOUSING ASSOCIATES INC,3.862431
6.427,WI,Outagamie County,LONG JOURNEY PINE RIDGE INC,0.006427
178.232,MA,Norfolk County,WESTWOOD MONTESSORI SCHOOL INC,0.178232
1659.926,ME,Cumberland County,MAINE APPALACHIAN TRAIL LAND TR,1.659926
641.596,VA,Rockingham County,KIDS HARBOR A MINISTRY OF HARRISONBURG FIRST CHURCH OF THE,0.641596
10962.377,ID,Ada County,IDAHO VIRTUAL ACADEMY INC,10.962377
167.477,CA,Sacramento County,FRANKLIN HIGH SCHOOL PARENT BOOSTER CLUB,0.167477
52.042,TX,Dallas County,ARMSTRONG BRADFIELD PRESCHOOL ASSOCIATION,0.052042
661.847,MD,Queen Anne's County,LEAD MARYLAND FOUNDATION INC,0.661847
4206.589,MA,Middlesex County,LOAVES & FISHES FOOD PANTRY INC,4.206589
151.486,TX,Dallas County,MENTORING BROTHER 2 BROTHER,0.151486
32931.884,VT,Washington County,NORTHEAST WILDERNESS TRUST,32.931884
472.31,PA,Allegheny County,KENTUCKY AVENUE SCHOOL,0.47231
326.647,IL,Kane County,AURORA AREA AFRICAN AMERICAN MEN OF UNITY,0.326647
138.304,OR,Yamhill County,MISSION DENTAL FOUNDATION INC,0.138304
532.3,ME,Cumberland County,VOLUNTEERS OF AMERICA INC,0.5323
522.369,OK,Canadian County,EL RENO BLESSING BASKETS INC,0.522369
1728.658,NY,Schenectady County,ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC,1.728658
1069.465,CA,Alameda County,CHINESE AMERICAN COOPERATION COUNCIL,1.069465
84.6,GA,Fulton County,FOR THE KID IN ALL OF US INC,0.0846
843.605,MO,St. Louis city,CHRISTIAN FRIENDS OF NEW AMERICANS,0.843605
611.458,OH,Columbiana County,APPLE GROVE HOMES II INC,0.611458
7995.306,MN,Hennepin County,DESIRING GOD MINISTRIES,7.995306
21.979,TN,Stewart County,STEWART COUNTY ANIMAL MANAGEMENT PROGRAM INCORPORATED,0.021979
865.722,OH,Stark County,LIVING BREAD RADIO,0.865722
708.067,ME,Cumberland County,VOLUNTEERS OF AMERICA INC,0.708067
95.589,CO,Boulder County,SILVER CREEK ORGANIZATION FOR PERFORMING ARTS,0.095589
3516.13,CA,Napa County,CFNV CHARITABLE REAL ESTATE FUND,3.51613
536.523,TX,Smith County,KINGS ACADEMY CHRISTIAN SCHOOL,0.536523
510.051,NY,Livingston County,DANSVILLE FIRE DEPARTMENT INC,0.510051
266.841,MA,Middlesex County,BILLERICA CAT CARE COALITION,0.266841
2486.162,NC,Hoke County,PUPPY CREEK FIRE DEPARTMENT INC,2.486162
1008.113,IL,Cook County,LAWYERS LEND-A-HAND TO YOUTH,1.008113
244.212,NJ,Somerset County,HUAXIA CHINESE SCHOOL AT BRIDGEWATER A NJ NONPROFIT CORP,0.244212
903.526,WV,Greenbrier County,COMMUNITIES IN SCHOOLS OF GREENBRIER COUNTY,0.903526
656.333,DC,District of Columbia,THE BRITISH PLAYERS INC,0.656333
187.964,IL,Cook County,UNITED STATES BOWLING CONGRESS INC,0.187964
1.038,FL,Pinellas County,HELP MINISTRIES INC,0.001038
679.121,LA,Morehouse Parish,MOREHOUSE SENIOR APARTMENTS INC,0.679121
985.345,CT,South Central Connecticut Planning Region,MUSIC HAVEN INC,0.985345
917.854,MA,Berkshire County,GAMWELL DEVELOPMENT CORPORATION,0.917854
76.267,CO,Arapahoe County,COLORADO JAPANESE SCHOOL,0.076267
985.678,NC,Mecklenburg County,MOUNTAIN ISLAND DAY,0.985678
200.848,MN,Hennepin County,COPPER STREET BRASS QUINTET NON PROFIT,0.200848
41.978,IL,DuPage County,JAHBAT INC,0.041978
398.121,OH,Cuyahoga County,COACH SAMS INNER CIRCLE FOUNDATION,0.398121
4422.321,NC,Guilford County,HOPE ACADEMY GSO INC,4.422321
63.436,CA,San Diego County,DEL NORTE HIGHSCHOOL MUSIC BOOSTERS,0.063436
191.993,IN,Hendricks County,AVON HIGH SCHOOL CHORAL BOOSTERS,0.191993
770.197,CA,Santa Clara County,CARRY THE VISION,0.770197
887.44,NC,Catawba County,PROPST CROSS ROADS VOLUNTEER FIRE DEPARTMENT 5,0.88744
46.451,DC,District of Columbia,AEROBRIDGE,0.046451
400.623,WA,Snohomish County,HAND IN HAND,0.400623
332.422,CA,Riverside County,DEZART PERFORMS,0.332422
74.491,ME,York County,LONG POND ASSOCIATION,0.074491
7590.466,CA,San Francisco County,MEGAN FURTH MEMORIAL FUND,7.590466
615.094,MD,Montgomery County,CHARTER BOARD PARTNERS,0.615094
2927.184,NE,Madison County,NORFOLK ARTS CENTER,2.927184
6096.894,ME,Cumberland County,BRUNSWICK PUBLIC LIBRARY ASSOCIATION,6.096894
4237.276,ME,Cumberland County,FALMOUTH MEMORIAL LIBRARY ASSOCIATION,4.237276
87500.256,ME,Lincoln County,BIGELOW LABORATORY FOR OCEAN SCIENCES,87.500256
2251.511,ME,Cumberland County,SCARBOROUGH PUBLIC LIBRARY,2.251511
805.229,ME,Oxford County,BETHEL LIBRARY ASSOCIATION,0.805229
313.505,ME,Androscoggin County,WOMANS LITERARY UNION OF ANDROSCOGGIN COUNTY,0.313505
4127.769,ME,Cumberland County,TRUSTEES OF MERRILL MEMORIAL LIBRARY,4.127769
721.749,ME,Hancock County,DEER ISLE-STONINGTON HISTORICAL SOCIETY INC,0.721749
3557.539,ME,Sagadahoc County,MORSE HIGH SCHOOL SCHOLARSHIP FUND,3.557539
6833.667,ME,Cumberland County,BRUNSWICK AREA STUDENT AID FUND,6.833667
2291.052,ME,Cumberland County,NAPLES PUBLIC LIBRARY,2.291052
880.173,ME,Cumberland County,ORRS ISLAND LIBRARY INC,0.880173
8808.088,ME,Lincoln County,BOOTHBAY REGION STUDENT AID FUND INC,8.808088
5292.378,ME,Knox County,NORTH HAVEN FOUNDATION,5.292378
4698.298,ME,Washington County,WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS,4.698298
1265.994,ME,Kennebec County,MELVIN H SIMMONS TRUST,1.265994
152158.386,NH,Grafton County,HOLDERNESS SCHOOL,152.158386
1932.525,NH,Hillsborough County,MANCHESTER MASONIC TEMPLE ASSOCIATION,1.932525
55185.431,NH,Merrimack County,GRANITE VNA INC,55.185431
8256.781,NH,Grafton County,HOWE LIBRARY,8.256781
127439.171,NH,Sullivan County,KIMBALL UNION ACADEMY,127.439171
136600.898,NH,Hillsborough County,NEW HAMPSHIRE CATHOLIC CHARITIES INC,136.600898
9164.727,NH,Merrimack County,NEW HAMPSHIRE ODD FELLOWS HOME,9.164727
17834.525,NH,Hillsborough County,BREATHE NEW HAMPSHIRE,17.834525
18684.439,NH,Grafton County,THE WHITE MOUNTAIN SCHOOL,18.684439
953754.407,NH,Merrimack County,ST PAULS SCHOOL,953.754407
1406.709,NH,Rockingham County,SANBORN SEMINARY,1.406709
101414.271,NH,Merrimack County,SOCIETY FOR THE PROTECTION OF NEW HAMPSHIRE FORESTS,101.414271
51782.047,NH,Belknap County,TILTON SCHOOL,51.782047
94737.573,NH,Carroll County,BREWSTER ACADEMY,94.737573
91771.113,NH,Rockingham County,PINKERTON ACADEMY,91.771113
103920.665,NH,Belknap County,NEW HAMPTON SCHOOL,103.920665
90601.279,NH,Merrimack County,NEW ENGLAND COLLEGE,90.601279
17855.749,NH,Grafton County,CAMP PASQUANEY,17.855749
339.607,NH,Hillsborough County,HOLLIS PRESCHOOL,0.339607
2126.584,NH,Merrimack County,NEW HAMPSHIRE INTERSCHOLASTIC ATHLETIC ASSOCIATION INC,2.126584
1012.755,VT,Windsor County,CRAFTSTUDIES INC,1.012755
5835.006,NH,Merrimack County,POPE MEMORIAL SPCA OF CONCORD MERRIMACK COUNTY,5.835006
14192.263,NH,Rockingham County,COE-BROWN NORTHWOOD ACADEMY,14.192263
1424.392,NH,Strafford County,GREAT BAY SERVICES,1.424392
40345.895,NH,Merrimack County,SPAULDING ACADEMY & FAMILY SERVICES,40.345895
16648.644,NH,Rockingham County,SEACOAST MENTAL HEALTH CENTER INC,16.648644
9429.198,NH,Hillsborough County,BEAVER BROOK ASSOCIATION INC,9.429198
281.22,NH,Rockingham County,EXETER FINE CRAFTS INC,0.28122
14189.057,NH,Merrimack County,COMMUNITY ACTION PROGRAM BELKNAP & MERRIMACK COUNTIES INC,14.189057
2471.365,NH,Merrimack County,NEW HAMPSHIRE SCHOOL BOARD ASSOCIATION,2.471365
1199.111,NH,Carroll County,EASTERN AMATEUR SKI EDUCATION FOUNDATION,1.199111
3478.295,NH,Merrimack County,FELLOWSHIP HOUSING OPPORTUNITIES INC,3.478295
15992.368,NH,Belknap County,THE LAKES REGION MENTAL HEALTH CENTER INC,15.992368
3600.61,NH,Rockingham County,COMMUNITY DAY CARE CENTER INC,3.60061
16168.42,MA,Essex County,NOTRE DAME CRISTO REY HIGH SCHOOL INC,16.16842
14258.753,NH,Rockingham County,MENTAL HEALTH CENTER FOR SOUTHERN NEW HAMPSHIRE INC,14.258753
4091.682,NH,Merrimack County,PINE HAVEN BOYS CENTER,4.091682
3257.715,NH,Merrimack County,SECOND START,3.257715
3448.087,NH,Carroll County,JACKSON SKI TOURING FOUNDATION INC,3.448087
1848.77,NH,Rockingham County,NUTFIELD HEIGHTS INC,1.84877
3658.951,NH,Merrimack County,MAGDALEN COLLEGE,3.658951
6376.618,NH,Carroll County,VISITING NURSE HOME CARE & HOSPICE OF CARROLL COUNTY,6.376618
1314.165,NH,Sullivan County,ORION HOUSE INC,1.314165
7347.221,NH,Strafford County,MONARCH SCHOOL OF NEW ENGLAND,7.347221
6237.104,NH,Merrimack County,NEW HAMPSHIRE HUMANITIES COUNCIL INC,6.237104
16420.167,VT,Caledonia County,NORTHERN COMMUNITY INVESTMENT CORP,16.420167
1468.166,NH,Merrimack County,WHITE BIRCH COMMUNITY CENTER,1.468166
11804.151,NH,Belknap County,LAKES REGION COMMUNITY SERVICES COUNCIL,11.804151
400.335,NH,Merrimack County,PATS PEAK EDUCATIONAL FOUNDATION,0.400335
932.393,NH,Carroll County,JACKSON HISTORICAL SOCIETY,0.932393
8848.761,NH,Hillsborough County,PLUS CO INC,8.848761
1698.333,NH,Merrimack County,WOODSIDE SCHOOL INC,1.698333
2444.879,NH,Cheshire County,CATHEDRAL OF THE PINES FOUNDATION,2.444879
1100.761,NH,Merrimack County,LIONS SIGHT & HEARING FOUNDATION OF N H,1.100761
1092.466,NH,Strafford County,DOVER ADULT LEARNING CENTER INC,1.092466
3177.916,NH,Hillsborough County,RURAL HOUSING FOR THE ELDERLY,3.177916
61.305,NH,Rockingham County,PRO PORTSMOUTH INC,0.061305
4705.693,NH,Rockingham County,ROCKINGHAM NUTRITION & MEALS ON WHEELS PROGRAM,4.705693
1754.211,NH,Merrimack County,CRISIS CENTER OF CENTRAL NEW HAMPSHIRE,1.754211
132.845,NH,Rockingham County,NEW HAMPSHIRE MUSIC EDUCATORS ASSOC,0.132845
6989.66,NH,Hillsborough County,THOMAS MORE COLLEGE OF LIBERAL ARTS INCORPORATED,6.98966
175.45,NH,Hillsborough County,TOBIAS COMMUNITY INC,0.17545
938.5,NH,Strafford County,SOUTH EASTERN NEW HAMPSHIRE ALCOHOL AND DRUG ABUSE SERVICES,0.9385
242.222,MN,Nicollet County,AMERICAN HOCKEY COACHES ASSOCIATION,0.242222
16054.992,NH,Coos County,COOS COUNTY FAMILY HEALTH SERVICES INC,16.054992
4663.608,NH,Carroll County,GIBSON CENTER FOR SENIOR SERVICES INC,4.663608
561.232,NH,Carroll County,SONATA HOUSING INC,0.561232
178.243,NH,Rockingham County,THE SALEM HIGH SCHOOL PERFORMING ARTS MUSIC CLUB INC,0.178243
59.409,NH,Strafford County,SPAULDING HOCKEY BOOSTERS,0.059409
268.913,NH,Rockingham County,LONDONDERRY SOCCER CLUB,0.268913
5396.648,NH,Hillsborough County,REGIONAL SERVICES AND EDUCATION CENTER INC,5.396648
1877.014,NH,Carroll County,WHITE MOUNTAIN COMMUNITY HEALTH CENTER,1.877014
3363.017,NH,Merrimack County,NEW HAMPSHIRE COALITION AGAINST DOMESTIC & SEXUAL VIOLENCE,3.363017
252.903,NH,Hillsborough County,LAMBS WORKSHOP INC,0.252903
268.151,VT,Windsor County,SPECIAL NEEDS SUPPORT CENTER OF THE UPPER VALLEY,0.268151
282.809,NH,Merrimack County,BLUEBERRY EXPRESS DAYCARE INC,0.282809
3435.894,NH,Grafton County,FRANCONIA SKI CLUB,3.435894
19390.439,NH,Strafford County,BEHAVIORAL HEALTH & DEVELOPMENTAL SERVICES OF STAFFORD COUNTY INC,19.390439
107.535,NH,Hillsborough County,WORLD CUP SOCCER CLUB OF GREATER NASHUA,0.107535
652.222,NH,Sullivan County,CLAREMONT SOUP KITCHEN INC,0.652222
710.048,NH,Merrimack County,ALTON HOUSING FOR THE ELDERLY INC,0.710048
167.532,NH,Carroll County,BACK BAY HOCKEY ASSOCIATION INC,0.167532
1627.451,NH,Carroll County,L I F E MINISTRIES INC,1.627451
5810.991,NH,Merrimack County,NEW HAMPSHIRE PUBLIC DEFENDER,5.810991
2760.148,NH,Cheshire County,CHESCO INC,2.760148
11800.445,NH,Grafton County,HANOVER IMPROVEMENT SOCIETY CORP,11.800445
5431.265,NH,Rockingham County,SEACOAST MENTAL HEALTH CENTER RESOURCE GROUP INC,5.431265
195729.835,NH,Rockingham County,THE RIVERWOODS COMPANY AT EXETER NEW HAMPSHIRE,195.729835
2155.55,NH,Rockingham County,THE UPPER ROOM A FAMILY RESOURCE CENTER,2.15555
658.615,NH,Coos County,NANSEN SKI CLUB INC,0.658615
1491.734,NH,Hillsborough County,SNHS FARMINGTON ELDERLY HOUSING INC,1.491734
2986.934,NH,Hillsborough County,SNHS ELDERLY HOUSING II INC,2.986934
7402.944,NH,Hillsborough County,THE FRONT DOOR AGENCY INC,7.402944
306.782,NH,Carroll County,MOUNT WASHINGTON VALLEY ALPINE EDUCATION FOUNDATION,0.306782
520.514,NH,Hillsborough County,OLD MEETING HOUSE OF FRANCESTOWN INC,0.520514
788.381,NH,Merrimack County,PITTSFIELD YOUTH WORKSHOP,0.788381
781.693,NH,Rockingham County,CANDIA YOUTH ATHLETIC ASSN,0.781693
