"","F990_TOTAL_ASSETS_RECENT","CENSUS_STATE_ABBR","CENSUS_COUNTY_NAME","ORG_NAME_CURRENT","Total_Assets"
"60",181939.719,"CA","Los Angeles County","CALIFORNIA STATE UNIVERSITY LONG BEACH RESEARCH FOUNDATION",181.939719
"61",3048394.011,"CO","Denver County","UNIVERSITY OF COLORADO FOUNDATION",3048.394011
"62",545944.923,"CO","El Paso County","CHRISTIAN COMMUNITY FOUNDATION INC",545.944923
"63",446656.936,"CO","Jefferson County","COLORADO SCHOOL OF MINES FOUNDATION",446.656936
"64",254252.055,"CO","Boulder County","FRASIER MEADOWS MANOR INC",254.252055
"65",196090.412,"CO","Adams County","AMERICAN INDIAN COLLEGE FUND",196.090412
"66",133909.303,"CO","El Paso County","WATERSTONE SUPPORT FOUNDATION INC",133.909303
"67",128064.58,"CO","Denver County","DENVER DUMB FRIENDS LEAGUE",128.06458
"68",106650.927,"CO","El Paso County","CHEYENNE MOUNTAIN ZOOLOGICAL SOCIETY",106.650927
"69",75848.992,"CO","Denver County","HABITAT FOR HUMANITY OF METRO DENVER INC",75.848992
"70",70099.619,"CO","Denver County","WESTERN STOCK SHOW ASSOCIATION",70.099619
"71",474002.68,"CT","Capitol Planning Region","CIL REALTY INC",474.00268
"72",258439.176,"CT","Western Connecticut Planning Region","FAIRFIELD COUNTYS COMMUNITY FOUNDATION INC",258.439176
"73",170075.271,"CT","Capitol Planning Region","HOSPITAL FOR SPECIAL CARE",170.075271
"74",109420.608,"CT","Western Connecticut Planning Region","NEW CANAAN COUNTRY SCHOOL INC",109.420608
"75",96313.464,"CT","Capitol Planning Region","CONNECTICUT STUDENT LOAN FOUNDTION",96.313464
"76",62592.543,"CT","Greater Bridgeport Planning Region","THE CONNECTICUT AUDUBON SOCIETY INCORPORATED",62.592543
"77",55781.082,"CT","South Central Connecticut Planning Region","CONNECTICUT FOODSHARE INC",55.781082
"78",50956.58,"CT","Western Connecticut Planning Region","HOUSING DEVELOPMENT FUND INC",50.95658
"79",50171.942,"CT","Western Connecticut Planning Region","NEW CANAAN LIBRARY INC",50.171942
"80",49811.036,"CT","South Central Connecticut Planning Region","SOUTHERN CONNECTICUT STATE UNIVERSITY FOUNDATION INC",49.811036
"81",764347.458,"DC","District of Columbia","TRUTH INITIATIVE FOUNDATION",764.347458
"82",522206.675,"DC","District of Columbia","CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE",522.206675
"83",179869.836,"DC","District of Columbia","CASEY TREES",179.869836
"84",172065.573,"DC","District of Columbia","NATIONAL MUSEUM OF WOMEN IN THE ARTS INC",172.065573
"85",103605.859,"DC","District of Columbia","AMERICAN EMBASSY SCHOOL ASSOCIATION",103.605859
"86",71574.894,"DC","District of Columbia","THE MALALA FUND",71.574894
"87",47070.813,"DC","District of Columbia","HUMAN RIGHTS CAMPAIGN FOUNDATION",47.070813
"88",41220.765,"DC","District of Columbia","AMERICAN PUBLIC HEALTH ASSOCIATION INC",41.220765
"89",36645.699,"DC","District of Columbia","INTERNATIONAL SCHOOL YANGON ASSOCIATION",36.645699
"90",36216.465,"DC","District of Columbia","AMERICAN HUMANE ASSOCIATION",36.216465
"91",155880.628,"DE","New Castle County","RIVERFRONT DEVELOPMENT CORPORATION OF DELAWARE",155.880628
"92",148322.996,"DE","Kent County","SUSTAINABLE ENERGY UTILITY INC",148.322996
"93",56922.886,"DE","New Castle County","DELAWARE TECHNOLOGY PARK INC",56.922886
"94",48687.568,"DE","New Castle County","TATNALL SCHOOL INC",48.687568
"95",44362.823,"DE","New Castle County","JEWISH FEDERATION OF DELAWARE INC",44.362823
"96",36971.086,"DE","New Castle County","EXCEPTIONAL CARE FOR CHILDREN INC",36.971086
"97",32666.091,"DE","New Castle County","SANFORD SCHOOL INC",32.666091
"98",28480.942,"DE","New Castle County","MARY CAMPBELL CENTER",28.480942
"99",17513.772,"DE","New Castle County","TRUSTEES OF NEW CASTLE COMMON",17.513772
"100",16983.288,"DE","New Castle County","ST ANNES EPISCOPAL SCHOOL",16.983288
"101",1519328.624,"FL","Duval County","STEP UP FOR STUDENTS - FLORIDA INC",1519.328624
"102",370504.634,"FL","Broward County","PINE CREST PREPARATORY SCHOOL INC",370.504634
"103",275354.128,"FL","Miami-Dade County","RANSOM EVERGLADES SCHOOL INC",275.354128
"104",236523.698,"FL","Miami-Dade County","MIAMI DADE COLLEGE FOUNDATION INC",236.523698
"105",233896.941,"FL","Collier County","ARTIS-NAPLES INC",233.896941
"106",196297.307,"FL","Lee County","FLORIDA GULF COAST UNIVERSITY FINANCING CORPORATION",196.297307
"107",185699.204,"FL","Lee County","FLORIDA GULF COAST UNIVERSITY FOUNDATION INC",185.699204
"108",182642.574,"FL","Leon County","FLORIDA AGRICULTURAL & MECHANICAL UNIV FOUNDATION INC",182.642574
"109",174264.032,"FL","Duval County","UNIVERSITY OF NORTH FLORIDA FINANCING CORPORATION",174.264032
"110",136483.124,"FL","Polk County","SOUTHEASTERN UNIVERSITY INC",136.483124
"111",1974085.193,"GA","Clarke County","UNIVERSITY OF GEORGIA FOUNDATION",1974.085193
"112",237400.074,"GA","Bulloch County","GEORGIA SOUTHERN UNIVERSITY HOUSING FOUNDATION INC",237.400074
"113",187069.766,"GA","Cobb County","THDF II INC",187.069766
"114",167630.484,"GA","Bibb County","COMMUNITY FOUNDATION OF CENTRAL GEORGIA INC",167.630484
"115",131610.42,"GA","Lumpkin County","UNIVERSITY OF NORTH GEORGIA REAL ESTATE FOUNDATION INC",131.61042
"116",111230.591,"GA","Fulton County","FOX THEATRE INC",111.230591
"117",108524.336,"GA","Lumpkin County","UNIVERSITY OF NORTH GEORGIA FOUNDATION INC",108.524336
"118",105314.221,"GA","Fulton County","ATLANTA SPEECH SCHOOL INC",105.314221
"119",104120.827,"GA","Clayton County","GEORGIA CYBER ACADEMY",104.120827
"120",97218.63,"GA","Clayton County","CLAYTON STATE UNIVERSITY FOUNDATION INC",97.21863
"121",2449.897,"GU","Guam","THE JAPANESE SCHOOL OF GUAM",2.449897
"122",34284.712,"HI","Honolulu County","UNIVERSITY CLINICAL EDUCATION & RESEARCH ASSOCIATES",34.284712
"123",31390.294,"HI","Maui County","MAUI ARTS & CULTURAL CENTER",31.390294
"124",20885.16,"HI","Honolulu County","CHILD AND FAMILY SERVICE",20.88516
"125",19421.656,"HI","Honolulu County","C N WODEHOUSE FACULTY BENEFIT TRUST AT SEABURY HALL",19.421656
"126",17908.098,"HI","Honolulu County","C N WODEHOUSE SALVATION ARMY TRUST",17.908098
"127",17226.245,"HI","Honolulu County","CFS REAL PROPERTY INC",17.226245
"128",16829.64,"HI","Honolulu County","C N WODEHOUSE FACULTY BENEFIT TRUST",16.82964
"129",16399.508,"HI","Honolulu County","C N WODEHOUSE BISHOP MUSEUM TRUST",16.399508
"130",16182.854,"HI","Honolulu County","C N WODEHOUSE FACULTY BENEFIT TRUST AT PUNAHOU SCHOOL",16.182854
"131",13390.442,"HI","Kauai County","KAUAI HOUSING DEVELOPMENT CORPORATION",13.390442
"132",767024.005,"IA","Polk County","MULTI-STATE LOTTERY ASSOCIATION",767.024005
"133",512471.225,"IA","Polk County","DES MOINES UNIVERSITY OSTEOPATHIC MEDICAL CENTER",512.471225
"134",145767.183,"IA","Polk County","P E O FOUNDATION",145.767183
"135",115845.159,"IA","Polk County","GRAND VIEW UNIVERSITY",115.845159
"136",89120.461,"IA","Polk County","P E O EDUCATIONAL LOAN FUND",89.120461
"137",83485.755,"IA","Story County","IOWA STATE UNIVERSITY RESEARCH PARK CORP",83.485755
"138",65671.363,"IA","Linn County","KIRKWOOD COMMUNITY COLLEGE FOUNDATION",65.671363
"139",53085.613,"IA","Polk County","DES MOINES PERFORMING ARTS",53.085613
"140",48304.504,"IA","Woodbury County","SIOUXLAND COMMUNITY HEALTH CENTER",48.304504
"141",45037.445,"IA","Cerro Gordo County","NORTH IOWA AREA COMMUNITY COLLEGE FOUNDATION",45.037445
"142",90433.944,"ID","Ada County","IDAHO YOUTH RANCH INC",90.433944
"143",54877.835,"ID","Ada County","BOGUS BASIN RECREATIONAL ASSOCIATION INC",54.877835
"144",40864.961,"ID","Kootenai County","NORTH IDAHO COLLEGE FOUNDATION INC",40.864961
"145",37456.846,"ID","Ada County","IDAHO FOODBANK WAREHOUSE",37.456846
"146",33494.404,"ID","Canyon County","COMMUNITY HEALTH CLINICS INC",33.494404
"147",32063.115,"ID","Ada County","COMPASS PUBLIC CHARTER SCHOOL INC",32.063115
"148",27006.811,"ID","Canyon County","IDAHO ARTS CHARTER SCHOOL",27.006811
"149",26669.924,"ID","Bannock County","THE ACADEMY INC",26.669924
"150",24030.804,"ID","Blaine County","COMMUNITY LIBRARY ASSOCIATION INC KETCHUM SUN VALLEY & TRIUMPH",24.030804
"151",18092.126,"ID","Canyon County","ELEVATE ACADEMY",18.092126
"152",1316905.522,"IL","Jackson County","SOUTHERN ILLINOIS HOSPITAL SERVICES",1316.905522
"153",517402.862,"IL","Cook County","MOODY BIBLE INSTITUTE OF CHICAGO",517.402862
"154",270317.289,"IL","Kane County","MOOSE FOUNDATION INC",270.317289
"155",251646.865,"IL","Jackson County","SOUTHERN ILLINOIS UNIVERSITY FOUNDATION",251.646865
"156",248601.205,"IL","Macon County","MILLIKIN UNIVERSITY",248.601205
"157",243527.041,"IL","Kankakee County","OLIVET NAZARENE UNIVERSITY",243.527041
"158",226030,"IL","Cook County","CHICAGO ZOOLOGICAL SOCIETY",226.03
"159",195076.442,"IL","DuPage County","RADIOLOGICAL SOCIETY OF NORTH AMERICA INC",195.076442
"160",190147.745,"IL","Cook County","AMERICAN BAR ENDOWMENT",190.147745
"161",189458.744,"IL","Kankakee County","OLIVET NAZARENE UNIVERSITY FOUNDATION",189.458744
"162",572069.015,"IN","Grant County","INDIANA WESLEYAN UNIVERSITY",572.069015
"163",459217.404,"IN","Marion County","JAMES WHITCOMB RILEY MEMORIAL ASSOCIATION",459.217404
"164",340333.025,"IN","Marion County","IU MEDICAL GROUP FOUNDATION INC",340.333025
"165",299322.114,"IN","Steuben County","TRINE UNIVERSITY INC",299.322114
"166",255508.846,"IN","St. Joseph County","COMMUNITY FOUNDATION OF ST JOSEPH COUNTY INC",255.508846
"167",221459.629,"IN","Marion County","UNITED WAY OF CENTRAL INDIANA INC",221.459629
"168",128672.353,"IN","Allen County","UNIVERSITY OF SAINT FRANCIS OF FORT WAYNE INDIANA INC",128.672353
"169",118259.845,"IN","Knox County","VINCENNES UNIVERSITY FOUNDATION INC",118.259845
"170",102702.002,"IN","Marion County","PROJECT LEAD THE WAY INC",102.702002
"171",87662.956,"IN","Hendricks County","CRF AFFORDABLE HOUSING INC",87.662956
"172",374335.716,"KS","Sedgwick County","WICHITA STATE UNIVERSITY FOUNDATION",374.335716
"173",250252.579,"KS","Saline County","GREATER SALINA COMMUNITY FOUNDATION",250.252579
"174",218762.301,"KS","Shawnee County","WASHBURN UNIVERSITY FOUNDATION",218.762301
"175",62349.877,"KS","Harvey County","BETHEL COLLEGE",62.349877
"176",45842.624,"KS","Nemaha County","NEMAHA VALLEY COMMUNITY HOSPITAL",45.842624
"177",45102.92,"KS","Harvey County","HESSTON COLLEGE",45.10292
"178",36358.262,"KS","Shawnee County","CAPPER FOUNDATION",36.358262
"179",34440.946,"KS","Saline County","SALINA HEALTH EDUCATION FOUNDATON",34.440946
"180",23880.717,"KS","McPherson County","CEDARS INC",23.880717
"181",23810.251,"KS","Shawnee County","KANSAS MASONIC FOUNDATION INC",23.810251
"182",176676.411,"KY","Warren County","WKU STUDENT LIFE FOUNDATION INC",176.676411
"183",170455.346,"KY","Calloway County","MURRAY STATE UNIVERSITY FOUNDATION",170.455346
"184",156503.699,"KY","Crittenden County","AMERICAN SCHOOL FOUNDATION AC",156.503699
"185",148432.903,"KY","Knott County","CANEY CREEK COMMUNITY CENTER",148.432903
"186",112117.883,"KY","Woodford County","FRONTIER NURSING UNIVERSITY INC",112.117883
"187",75848.542,"KY","Rowan County","MSU FOUNDATION INC",75.848542
"188",73357.954,"KY","Jefferson County","TRINITY HIGH SCHOOL FOUNDATION INC",73.357954
"189",66798.964,"KY","Woodford County","FRONTIER NURSING SERVICE INC",66.798964
"190",64974.521,"KY","Letcher County","MOUNTAIN COMPREHENSIVE HEALTH CORPORATION",64.974521
"191",63490.607,"KY","Fayette County","NEW VISTA OF THE BLUEGRASS INC",63.490607
"192",164207.156,"LA","Lincoln Parish","INNOVATIVE STUDENT FACILITIES INC",164.207156
"193",133281.392,"LA","Tangipahoa Parish","UNIVERSITY FACILITIES INC",133.281392
"194",96818.798,"LA","Ouachita Parish","UNIVERSITY OF LOUISIANA MONROE FACILITIES INC",96.818798
"195",80958.231,"LA","Tangipahoa Parish","SOUTHEASTERN LOUISIANA UNIVERSITY FOUNDATION",80.958231
"196",70912.948,"LA","St. Tammany Parish","METHODIST HEALTH SYSTEM FOUNDATION INC",70.912948
"197",66510.603,"LA","Orleans Parish","SUGAR BOWL LOUISIANA SUPERDOME",66.510603
"198",45990.612,"LA","East Baton Rouge Parish","BRCC FACILITIES CORPORATION",45.990612
"199",42976.013,"LA","Lafourche Parish","NSU FACILITIES CORPORATION",42.976013
"200",36491.619,"LA","Lincoln Parish","GRAMBLING HIGH FOUNDATION",36.491619
"201",31508.699,"LA","Orleans Parish","PROVIDENCE HOUSING CORPORATION",31.508699
"202",745841.251,"MA","Middlesex County","CHARLES STARK DRAPER LABORATORY INC",745.841251
"203",229991.445,"MA","Suffolk County","ELDERHOSTEL INC",229.991445
"204",188730.699,"MA","Suffolk County","PINE STREET INN INC",188.730699
"205",169917.978,"MA","Middlesex County","MURRAY EDWARDS COLLEGE",169.917978
"206",126649.132,"MA","Essex County","ESSEX COUNTY COMMUNITY FOUNDATION INCORPORATED",126.649132
"207",119267.019,"MA","Norfolk County","DEXTER SOUTHFIELD INC",119.267019
"208",118976.902,"MA","Middlesex County","SHADY HILL SCHOOL",118.976902
"209",109512.086,"MA","Middlesex County","REGIS COLLEGE",109.512086
"210",109007.562,"MA","Hampshire County","WILLISTON NORTHAMPTON SCHOOL",109.007562
"211",95855.505,"MA","Worcester County","EAGLE HILL FOUNDATION OF MASSACHUSETTS INC",95.855505
"212",701768.432,"MD","Montgomery County","UNITED STATES PHARMACOPEIAL CONVENTION INC",701.768432
"213",511020.672,"MD","Baltimore city","T ROWE PRICE PROGRAM FOR CHARITABLE GIVING INC",511.020672
"214",155800.209,"MD","Baltimore city","MORGAN STATE UNIVERSITY FOUNDATION INCORPORATED",155.800209
"215",110537.61,"MD","Wicomico County","SALISBURY UNIVERSITY FOUNDATION INC",110.53761
"216",80887.471,"MD","Baltimore city","HOSPITAL FOR CONSUMPTIVES OF MARYLAND",80.887471
"217",71131.127,"MD","Wicomico County","THREE LOWER COUNTIES COMMUNITY SERVICES INC",71.131127
"218",65309.955,"MD","Montgomery County","CHILDRENS INN AT NIH INC",65.309955
"219",58626.477,"MD","Montgomery County","BRIGHTFOCUS FOUNDATION",58.626477
"220",57985.292,"MD","Baltimore city","NEIGHBORHOOD IMPACT INVESTMENT FUND INC",57.985292
"221",47303.067,"MD","Howard County","FOUNDATION FIGHTING BLINDNESS RETINAL DEGENERATION FUND",47.303067
"222",88965.309,"ME","Cumberland County","PORTLAND MUSEUM OF ART",88.965309
"223",87500.256,"ME","Lincoln County","BIGELOW LABORATORY FOR OCEAN SCIENCES",87.500256
"224",85551.346,"ME","Cumberland County","GOODWILL INDUSTRIES OF NORTHERN NEW ENGLAND",85.551346
"225",63850.681,"ME","Hancock County","MAINE SEACOAST MISSION",63.850681
"226",63275.417,"ME","Androscoggin County","JOHN F MURPHY HOMES INC",63.275417
"227",57792.646,"ME","Cumberland County","UNIVERSITY OF SOUTHERN MAINE FOUNDATION",57.792646
"228",49380.877,"ME","Androscoggin County","GOOD SHEPERD FOOD BANK",49.380877
"229",46225.096,"ME","Cumberland County","GENESIS FUND",46.225096
"230",40956.131,"ME","Penobscot County","KATAHDIN VALLEY HEALTH CENTER",40.956131
"231",38969.461,"ME","York County","WAYPOINT MAINE INC",38.969461
"232",597306.438,"MI","Oakland County","UNITED JEWISH FOUNDATION",597.306438
"233",404141.821,"MI","Kent County","GRAND RAPIDS COMMUNITY FOUNDATION",404.141821
"234",121679.596,"MI","Calhoun County","BATTLE CREEK COMMUNITY FOUNDATION",121.679596
"235",102173.616,"MI","Kent County","CHERRY STREET SERVICES INC",102.173616
"236",91911.961,"MI","Kent County","MICHIGAN CHRISTIAN HOME",91.911961
"237",88881.471,"MI","Wayne County","SC HEALTH SCIENCES INC",88.881471
"238",88711.454,"MI","Grand Traverse County","GRAND TRAVERSE REGIONAL LAND CONSERVANCY",88.711454
"239",75789.432,"MI","Wayne County","COMERICA CHARITABLE TR",75.789432
"240",73214.908,"MI","Oakland County","LEADER DOGS FOR THE BLIND FOUNDATION",73.214908
"241",70883.331,"MI","Marquette County","THE NORTHERN MICHIGAN UNIVERSITY FOUNDATION",70.883331
"242",595109.092,"MN","Ramsey County","CATHOLIC COMMUNITY FOUNDATION OF MINNESOTA",595.109092
"243",365106.394,"MN","Hennepin County","WALKER ART CENTER INC",365.106394
"244",208628.197,"MN","Stearns County","COMMUNITYGIVING",208.628197
"245",174183.71,"MN","Ramsey County","CONCORDIA UNIVERSITY ST PAUL",174.18371
"246",115113.281,"MN","St. Louis County","NORTHLAND FOUNDATION",115.113281
"247",108600.351,"MN","Hennepin County","DUNWOODY COLLEGE OF TECHNOLOGY",108.600351
"248",87725.937,"MN","Carver County","MINNESOTA LANDSCAPE ARBORETUM FOUNDATION",87.725937
"249",86939.768,"MN","Hennepin County","MINNEHAHA ACADEMY",86.939768
"250",86434.052,"MN","Blue Earth County","MINNESOTA STATE UNIVERSITY MANKATO FOUNDATION INCORPORATED",86.434052
"251",62024.95,"MN","Hennepin County","GLENN CATHOLIC SENIOR COMMUNITIES INC",62.02495
"252",170733.365,"MO","Boone County","MASONIC HOME OF MISSOURI",170.733365
"253",113462.871,"MO","Cole County","MISSOURI CORPORATION FOR SCIENCE AND TECHNOLOGY",113.462871
"254",72551.508,"MO","Lewis County","CULVER-STOCKTON COLLEGE",72.551508
"255",59724.041,"MO","Marion County","MARK TWAIN ASSOCIATION FOR MENTAL HEALTH INC",59.724041
"256",58192.254,"MO","Nodaway County","NORTHWEST FOUNDATION INC",58.192254
"257",44834.316,"MO","Jackson County","AMERICAN PUBLIC WORKS ASSOCIATION",44.834316
"258",44756.852,"MO","Jackson County","STARLIGHT THEATRE ASSOCIATION OF KANSAS CITY INC",44.756852
"259",43349.328,"MO","St. Louis County","ST LOUIS AREA FOOD BANK INC",43.349328
"260",38049.95,"MO","St. Charles County","EMMAUS HOMES INC",38.04995
"261",37785.839,"MO","Adair County","NORTHEAST MISSOURI HEALTH COUNCIL INC",37.785839
"262",440.142,"MP","Saipan Municipality","CENTER FOR LIVING INDEPENDENTLY IN THE CNMI",0.440142
"263",755235.379,"MS","Lafayette County","UNIVERSITY OF MISSISSIPPI FOUNDATION",755.235379
"264",283465.069,"MS","Lafayette County","UNIVERSITY OF MISSISSIPPI EDUCATIONAL BUILDING CORPORATION",283.465069
"265",252285.278,"MS","Forrest County","WILLIAM CAREY UNIVERSITY",252.285278
"266",79928.621,"MS","Hinds County","COMMUNITY FOUNDATION FOR MISSISSIPPI",79.928621
"267",49957.311,"MS","Benton County","NORTH MISSISSIPPI PRIMARY HEALTH CARE INC",49.957311
"268",43731.695,"MS","Rankin County","JACKSON PREPARATORY SCHOOL FOUNDATION",43.731695
"269",34127.632,"MS","Tate County","THE BADDOUR CENTER INC",34.127632
"270",33345.098,"MS","Madison County","MADISON-RIDGELAND ACADEMY",33.345098
"271",26486.346,"MS","Rankin County","HARTFIELD ACADEMY INC",26.486346
"272",24633.862,"MS","Harrison County","HABITAT FOR HUMANITY OF THE MISSISSIPPI GULF COAST INC",24.633862
"273",381209.209,"MT","Lewis and Clark County","MONTANA HIGHER EDUCATION STUDENT ASSISTANCE CORPORATION",381.209209
"274",140839.354,"MT","Lewis and Clark County","CARROLL COLLEGE",140.839354
"275",58911.808,"MT","Missoula County","HOMEWORD INC",58.911808
"276",38958.964,"MT","Gallatin County","YELLOWSTONE FOREVER",38.958964
"277",30699.129,"MT","Lincoln County","LINCOLN COUNTY COMMUNITY HEALTH CENTER INC",30.699129
"278",29190.539,"MT","Lewis and Clark County","STUDENT ASSISTANCE FOUNDATION OF MONTANA",29.190539
"279",24426.365,"MT","Cascade County","GREAT FLS DEVELOPMENT AUTHORITY INC",24.426365
"280",21513.463,"MT","Missoula County","THE MAUREEN AND MIKE MANSFIELD FOUNDATION",21.513463
"281",21221.304,"MT","Silver Bow County","BUTTE SILVER BOW PRIMARY HEALTH CARE CLINIC INC",21.221304
"282",20100.357,"MT","Toole County","MARIAS HEALTHCARE SERVICES INC",20.100357
"283",1982712.995,"NC","Wake County","NC STATE INVESTMENT FUND INC",1982.712995
"284",1292166.073,"NC","Nash County","THE GOLDEN L E A F LONG-TERM ECONOMIC ADVANCEMENT FOUNDATION IN",1292.166073
"285",691281.957,"NC","Wake County","NORTH CAROLINA STATE UNIVERSITY FOUNDATION INC",691.281957
"286",578700.034,"NC","Orange County","UNC HEALTH FOUNDATION INC",578.700034
"287",404243.208,"NC","Rowan County","CATAWBA COLLEGE",404.243208
"288",403436.279,"NC","Wake County","NORTH CAROLINA COMMUNITY FOUNDATION INC",403.436279
"289",369290.686,"NC","Guilford County","UNIVERSITY OF NORTH CAROLINA AT GREENSBORO INVESTMENT FUND INC",369.290686
"290",255177.582,"NC","Mecklenburg County","CHARLOTTE COUNTRY DAY SCHOOL",255.177582
"291",251123.547,"NC","Wake County","NORTH CAROLINA AGRICULTURAL FOUNDATION INC",251.123547
"292",229874.551,"NC","New Hanover County","WILMINGTON FUTURE INC",229.874551
"293",117005.425,"ND","Stutsman County","UNIVERSITY OF JAMESTOWN",117.005425
"294",60925.273,"ND","Grand Forks County","UND SPORTS FACILITIES INC",60.925273
